Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
Not Feasible,,,Not Feasible,Fire signal,17-175,,Install a crosswalk and lights at the intersection of California & Walker,"Intersection of California and Walker is dangerous for pedestrians crossing, especially at night.",Install a crosswalk and lights at the intersection.,"47.58401, -122.38644",California and Walker,Crossing Improvements,SDOT,Pedestrians,1,Admiral
Not Feasible,,,Not feasible,King County Property,17-18,,Complete missing link of Green River Trail connecting to South Park,Limited pedestrian and bicycle connectivity routes into or out of South Park.,"Completing the missing segment to link South Park to the Green River Trail. The current route puts pedestrians and runners on W Marginal Way S, a highly trafficked road with no shoulder or sidewalk, until Cecil Moses Memorial Park. It is very risky here.","47.520736, -122.314877",W Marginal Way S between Cecil Moses Memorial Park and 14th Ave S.,Walkways,King County,"All users of the Green River and Duwamish River Trails, whether on foot or bike, as well as those who work in the large office developments adjacent to this area.",1,South Park
Not Feasible,,,Not Feasible,"Overbudget, needs extensive outreach process",17-186,,Bicycle lane along 14th Ave S.,"South Parks main core looks semi-abandoned, many businesses boarded up and dirty, a dedicated bike lane (well lit at night) will beautify the street and will encourage people to ride their bikes. ",Bicycle lane along 14th Ave S.,"47.523040, -122.314960","On 14th Ave, between Dallas Ave S. and S. Henderson St.",Walkways,SDOT,All the community at large,1,South Park
Not Feasible,,,Not Feasible,Would require coordination with ST // Coordination with ST & SDOT underway,17-188,,Improve crossing @ RB Lightrail Station,It takes too long to cross the street at the Rainier Beach Light Rail Station.  People end up crossing against the light all of the time.  ,Add a crossing at the other end of the platform with a pedestrian activated signal.  ,"47.523280, -122.279000",Rainier Beach Light Rail Station,Crossing Improvements,SDOT,Everyone who uses the rainier beach light rail station.,2,Rainier Beach
Not Feasible,,,Not Feasible,Coordination with ST & SDOT underway,17-191,,Addressing illegal ped crossing near light rail,improve safety via slowing street traffic and  dissuading pedestrians from crossing MLK Way S illegally ,"""Increase frequency of stop light signal changes""","47.523280, -122.279000",intersection of S Henderson St and MLK Way S (Rainier Beach Link light rail station),Crossing Improvements,SDOT,"pedestrians, residents, commuters",2,Rainier Beach
Not Feasible,,,Not Feasible,"Major arterial, emergency route",17-194,,Traffic calming on Henderson,There are too many cars speeding on this very busy throughway.  ,"Installing speed bumps, stop signs, flashing beacons, or traffic circles to slow the flow of traffic in this area and bring attention to pedestrians.","47.523361, -122.264629",Henderson and Seward Park to Henderson and MLK,Traffic-Calming,SDOT,Both drivers and pedestrians,2,Rainier Beach
Not Feasible,,,Not Feasible,Full signal exists,17-197,,Add a flashing beacon to 14th Ave S. and Trenton St. (NW to NE),"A lot of people go to SeaMar community clinic located on the NE corner of the at intersection.  A flashing beacon would make pedestrians more visible, as this is the busiest road in the neighborhood, used by cars, commercial trucks, etc. ",Add a flashing beacon to 14th Ave S. and Trenton St. (NW to NE),"47.524750, -122.314940",14th Ave S. and Trenton St. (NW to NE),Crossing Improvements,SDOT,Especially those who go to SeaMar Clinic and Pharmacy,1,South Park
Not Feasible,,,Not Feasible,Too expensive,17-200,,Install a playground @ Cesar Chavez Park,"Kids living west of the Hwy 99 overpass don't have access to a playground structure, and teh Cesar Chavez park remains underused since it was open",Install a playground @ Cesar Chavez Park,"47.526501, -122.325500",Cesar Chavez Park,Park Equipment,Parks,"Kids and their parents, to socialize",1,South Park
Not Feasible,,,Not Feasible,Has been reviewed in the past and found too expensive to construct to SDOT standards,17-206,,"Crosswalk installation on East Marginal and 16th Avenue, leading to South Park bridge.",There is no safe way to cross the street at East Marginal and 16th Avenue. There are no sidewalks or crosswalks and this is a five lane highway.,"Install multiple crosswalks and stoplights, or at least pedestrian activated lights.","47.534240, -122.313120","East Marginal and 16th Avenue, leading to South Park bridge.",Crossing Improvements,SDOT,Anyone wanting to connect Georgetown to South Park. ,2,Georgetown
Not Feasible,,,Not Feasible,"Overbudget, needs extensive outreach process",17-210,,"Create a bike lane along S. Cloverdale, from South Park to Roxbury",No safe way to get from White Center to South Park,"Create a bike lane along S. Cloverdale, from South Park to Roxbury","47.535818, -122.333973","S. Cloverdale, over I-99 bridge",Other,SDOT,Bicyclists ,1,South Park
Not Feasible,,,Not Feasible,Requires community input.  Consider Neighborhood Matching Fund. ,17-212,,Build parklets in Othello neighborhood,address the lack of well-lit public spaces within the community,"""Design and installation of parklets within the District 2 area""","47.53703, -122.2834",along 39th Ave. S near the grocery store and women's shelter,Place-making/Beautification,SDOT,"clients of the women's shelter, residents, shoppers, pedestrians",2,Othello
Not Feasible,,,Not Feasible,SPU spot drainage program,17-226,,Fix drainage issues along 46th Ave S. near S. Willow St,Build up of ice on street in freezing weather from (improper) drainage,Fix drainage issue,"47.540691, -122.275478",46th Ave S. and S. Willow St. Drainage from 6908 46th Ave. S. Ice is on Willow ST,Other,SDOT,Anyone who drives on the street. Probably safer for the children who use it as an ice skating rink...,2,Brighton
Not Feasible,,,Not Feasible,Not a physical project.  Consider Neighborhood Matching Fund. ,17-250,,Outdoor Classroom at Brighton Playfield for use by students of nearby schools / daycares,"Brighton playfield is used by lots of folks but it isn't maintained in a way that connects to the neighborhood or that improves the opportunity for young POC who attend Aki Kurose Middle School to learn about potential green job opportunities related to water systems, parks, trees etc. ","Create an outdoor classroom that could be used by Aki Kurose middle school and local neighbors to learn about the city's investments that has a green stormwater infrastructure project, multi-lingual signage (maybe partner w/ Arts to do something creative - walking path with audio/visual guidance?) Work with SPU to create some curriculum for students who utilize the outdoor classroom. Also consider partnering with Tiny Tots outdoor preschool. ","47.548921, -122.282842",Brighton Playfield,Park Equipment,Parks,"Students of Aki Kurose, neighbors and residents of hillman city, all of Seattle who wants to better understand how our investments can improve the lives of our community members and help young people connect to environmental stewardship ",2,Hillman City
Not Feasible,,,Not Feasible,Adding a pedestrian signal @ Airport Way S & S Doris St,17-253,,Improve crossing @ S. Nebraska & Airport Way S,Motorists traveling westbound on S Nebraska Street can not see pedestrians approaching this intersection from the south - a building blocks the view on the southwest corner.  Westbound drivers from Nebraska Street must pull into the crosswalk area in oder to see around buildings and cars parked on Airport Way and merge safely with motorists traveling along Airport Way South.  There are many popular retail business and a business parking lot on S Nebraska making this a very busy intersection for cars and pedestrian traffic at peak times. Near collisions with business patrons walking here is a daily occurrence. Pedestrian traffic is blocked with every car that has to wait to merge with traffic on Airport Way S.    ,"Bring pedestrians into the sightline of drivers by painting curb bulbs at this intersection. The painted areas would define safe places for people wanting to cross to stand in view of drivers.  These painted areas could also help to keep vehicles from parking too close to the stop sign and intersection crossing, again improving sight lines between drivers and walkers.","47.549560, -122.317220",intersection of S Nebraska Street and Airport Way South,Crossing Improvements,SDOT,All users of this intersection would benefit from increased safety and visibility. ,2,Georgetown
Not Feasible,,,Not Feasible,Adding a pedestrian signal @ Airport Way S & S Doris St,17-254,,Improve crossing @ S. Nebraska & Airport Way S,Motorists traveling westbound on S Nebraska St cannot see pedestrians approaching this intersection - a building blocks the view. Westbound drivers must block the crosswalk area in order to see around buildings and parked cars and merge safely with traffic flow on Airport Way S. Popular businesses and a busy parking lot on Nebraska St make this a very busy intersection. Near collisions between motorists and pedestrians during peak times is a daily occurrence. ,"Painted curb bulbs could be used to define safe areas for pedestrians to stand while waiting to cross the intersection and make pedestrians and drivers visible to one another. The painted areas would also prevent vehicles from parking too close to the stop sign and intersection, keeping sight-lines clear. ","47.549560, -122.317220",intersection of S Nebraska St and Airport Way S,Crossing Improvements,SDOT,"drivers, pedestrians - all users of the intersection",2,Georgetown
Not Feasible,,,Not Feasible,Not a physical project,17-257,,Improve north entrance of Seward Park,"In Seward Park, there is not a clear, safe and ADA accessible path to connect one ""end"" of the perimeter walking/bicycling loop (near the Pottery Studio) to the other ""end"" (near the playground).  Currently walkers, strollers, wheelchairs, bicycles and vehicles share the same space in this much used area at the entrance to the Park.  Vehicles often speed through here on their way up the adjacent hill. ","We should hire a landscape architect with experience in ADA requirements to design this path, along with a public meeting process.   We should design a low-impact, low maintenance but clearly marked path for pedestrians, wheelchairs and bicycles to link the two ""ends"" of the perimeter ""loop"".  We should have a complete, safe and accessible loop.","47.549748, -122.257770",Seward Park,Accessibility Improvements,Parks,"Everyone using the park, particularly walkers and wheelchairs. ",2,Lakewood/Seward Park
Not Feasible,,,Not Feasible,Too expensive // overbudget,17-268,,Make room for bikes on Airport Way bridge,The bridge over Airport Way into Georgetown is dangerous for cyclists to the point that it inhibits people from commuting by bicycle. Drivers do not realize it is permitted for cyclists to ride there. Drivers also proceed at unsafe speeds.,Sharrows painted on the bridge surface and a Share the Road reminder sign. Other traffic calming features to deter speeding,"47.554817, -122.322048",The N/S Airport Way bridge into Georgetown,Other,SDOT,Cyclists of all abilities; pedestrians who no longer will be forced to share a sidewalk with riders; drivers who will be confident in their expectations of the roadway,2,Georgetown
Not Feasible,,,Not Feasible,Too expensive // overbudget,17-273,,Create bike lane on Rainier Ave,"Need a safer, flatter route for bicyclists in Rainier Valley",,"47.557925, -122.284963","Rainier Ave S, from Alaska to Graham",Other,SDOT,Bicyclists,2,Columbia City
Not Feasible,,,Not Feasible,Requires community input.  Consider Neighborhood Matching Fund. ,17-276,,Improvements to Columbia Park,"Lighting improvement for Columbia City Park - lack of lighting ""invites"" indecent bevavior in the park as well as pose  safety risk for people who walk through the park at night.  ",Most parts of the park is dark at night .  Parks I s mostly lit by the surrounding structures that don't stay lit all night.   Installation of lamp post will increase the level of safety for those in the park.  ,"47.558695, -122.287464",Columbia Park ,Lighting,Parks,Everyone who uses the park.  Columbia City is an up and  coming neighborhood with growing population.  ,2,Columbia City 
Not Feasible,,,Not Feasible,Requires community input.  Consider Neighborhood Matching Fund. ,17-279,,Improvements to Maplewood Park,"Maplewood park lacks an off-leash area for dogs.  This park is largely used by community members to walk dogs; however, there is only one walking path - making the entire space under utilized especially in the summers. ",A fenced in area would be great. We think fencing in one of the baseball diamonds. ,"47.560105, -122.317446",Maplewood Play Field,Park Equipment,Parks,The surrounding community,2,Georgetown
Not Feasible,,,Not Feasible,SDOT doesn't do this,17-28,,Speed hump / signage installation in alley between 34th and 35th Ave SW,"I live at 6541 34th Ave. SW in the High Point neighborhood.  I got together with a group of neighbors last year and we discussed a shared concern: cars speeding up the alley between 34th and 35th, especially the area between Holly and Morgan (used by cars as a shortcut around traffic / signals), as well as along 34th itself between Morgan and Willow.  The alley is, for many homes, the direct ""front door"" exit--meaning that kids (my son is 3, and our area is full of them) and anyone else who wants to walk / exit the area must use it to leave the house, and it has no sidewalk, just a road.  There is also a mosque that uses the High Point management office space nearby, and lots of kids / adults are always running around there coming to and from daily prayers.  Finally, West Seattle Elementary is right next door, and there are a lot of kids around, some of whom seem to use the alley when walking home from school.  ","4-6 speed humps, coupled with ""20 is plenty"" signage, could make a huge difference.  2 or 3 in the alley itself, 2 or 3 on the street between the intersections mentioned above.  ","47.522147, -122.375809","1) Alley between 34th and 35th, in the area between Morgan and Holly streets.  2) 34th Ave. SW, between Morgan and Willow streets.  (I am hoping the alley qualifies - I heard that it would because it is not private, it is essentially a public city street, used as primary access for many homes)",Traffic-Calming,SDOT,"All of the people / families who not only live in the area, but use it as pedestrians when accessing the High Point Community Center, West Seattle Elementary, the Mosque, etc. ",1,High Point
Not Feasible,,,Not Feasible,Too expensive,17-287,,Resurface the path along Lake Wa Blvd or at least mark the tree routes.  Add more lighting so it is safer in the dark. ,"Lake Wa Blvd pedestrian path is full of tree roots and dangerous to use, especially at night",Resurface the path along Lake Wa Blvd or at least mark the tree routes.  Add more lighting so it is safer in the dark. ,"47.561502, -122.266487",Lake Wa Blvd (Leshi- Seward Park),Walkways,Parks,"Pedestrians, bicyclists, anyone using the path",2,Mt. Baker
Not Feasible,14,20,17,"Part of the Columbialaska PBL & Repaving will be to install a refuge island at this location, but do not have plans to mark the crossing.  Previous ped counts does not qualify this intersection for a marked crosswalk. ",17-288,,Crossing Improvements @ MLK & S Columbian Way ,"There is no safe place to cross S Columbian Way between Beacon Ave S and MLK Way S--a distance of over half a mile. People speed down Columbian, and despite this being in a residential area with bus stops along Columbian it feels like a death-defying act to wait for traffic to let up before jogging to the other side of the street.    This is also the walking route that students from Rainier Vista take on their way to and from Mercer Middle School.",I would like to see a median pedestrian island at Columbian and Alaska where Columbian turns into Rainier Vista. I would also like traffic on Columbian slowed to 25 mph so people aren't rip-roaring down the street and crashing into things/people.,"47.561640, -122.297300","At the intersection of S Columbian Way, S Alaska St, and Mt View Dr S https://www.google.com/maps/@47.5616967,-122.2974082,3a,75y,111.56h,79.89t/data=!3m6!1e1!3m4!1s_KZ4LFMqHKSSUhVPeDGr9w!2e0!7i13312!8i6656",Crossing Improvements,SDOT,"Residents along Columbian, students walking to and from Mercer Middle, users of Cheasty Greenspace, and bus riders.",2,Rainier Vista
Not Feasible,,,Not Feasible,Too expensive - currently planning for design work,17-342,,Increase street visiblity of Kobe Terrace Park,"Increase street visibility of Kobe Terrace Park -  Crime and shady loitering is present in this park due ot how protected from street view.  Increasing visibility and accessibility, getting more eyes on the park naturally increases security and can increase parks usability.  ",The park entrance is at the top of a residential dead end street and the other side of the park along S Main is above eye level and has a fence to further reduce visibility.   Replacing this fence with one that increases visibility of the park from Main St will make park safer.  Also will create park access from Main Street.  ,"47.620232, -122.345390",Kobe Terrace Park,Accessibility Improvements,Parks,"Anyone who lives, walks, or frequents the local restaurants/businesses near the park.  ",7,Yesler  Terrace
Not Feasible,16,14,15,Street decorations and pole banners in the Genesee business district would require a community engagement and permitting process that doesn't align with this funding opportunity. ,17-293,,Streetscape improvements @ Rainier & Genesee,"The node of S Genesee St & Rainier Ave S is often neglected while experiences high traffic, from cars and pedestrians. Cars are rushing into Columbia City, and people are running to catch their buses.   Yet this is also a business core with many small businesses in the 1-block vicinity who either grew up in the area, or lived in the area for many years. This is an eclectic community, with a lot of pride and desire for this node and neighborhood to be celebrated. Businesses here want to encourage pedestrians to stay and shop and find services in this place. ","Round planters with flowers in front of 4405 1/2 Rainier Ave S, Seattle 98118 (Tiger Lily Yoga) they are willing to care of the flowers/planter. By the bike racks. As well as banners on the electric/light poles, to celebrate the historic community of Genesee Business District, depicting the culture of this place. ","47.564030, -122.288360","4405 1/2 Rainier Ave S., S Genesee St / Rainier Ave S. ",Place-making/Beautification,SDOT,"Businesses on this block and in the neighborhood. Pedestrians to feel like they are in a community, and not just passing through on an arterial. ",2,Genesee
Not Feasible,,,Not Feasible,Too expensive,17-299,,Add bathroom @ Adams St & Lake Wa Blvd,"Toilets. Nothing fancy like the beautiful brick buildings from yesteryear that exist in the older parks; just a plastic shit box that gets pumped out once a week but put them everywhere.    Also, for some insane reason it is illegal for dogs to swim in Lake WA. If we can't change that, then let's get a south-end dog swim area for chrissakes. How the F is pot smoking legal but a dog swimming is not?",Dog swim area,"47.565310, -122.267960",Adams street & Lake Wa Blvd.,Park Equipment,Parks,"Dog owners & dogs. I'm neither, but the need is clear.",2,Lakewood/Seward Park
Not Feasible,,,Not Feasible,Too expensive // overbudget,17-318,,Connect SODO trail to Duwamish/Alki/Elliot trails,"I feel unsafe riding my bike from West Seattle to Beacon Hill, because I must cross through SODO which has mostly non existant bicycle infrastructure. The Parks Department does not offer the class I need in West Seattle, so I need to travel to Beacon Hill to attend my class.","Improve bicycle infrastructure between South Spokane Street and South Lander Street to connect the missing link between the Alki/West Duwamish/Elliott Bay trails and the SODO Trail. This could be done fairly cheaply by restriping 6 tenths of a mile on 4th Avenue South between Spokane Street and Lander Street to include a bicycle lane on each side of 4th Avenue South. The wide sidewalk on the north side of South Spokane Street provides a safe bicycle route between 4th Ave S. and East Marginal Way, but it needs to be connected to the SODO trail, which starts at Lander Street.","47.5798, -122.32907",4th Avenue South between South Lander Street and South Spokane Street.,Other,SDOT,"People biking between District 1 and District 2, people who need to bike to destinations in SODO.",2,SODO
Not Feasible,,,Not Feasible,"involves design, community involvement",17-324,,Lighting Improvements,Lights at Daejon Park ,There is nefarious activities in the pavilion at the park at night. ,"47.587855, -122.311275",Daejon Park Pavilion,Lighting,Parks,"Residents, pedestrian and bike commuters, and park users. ",2,Beacon Hill
Not Feasible,,,Not Feasible,Not a physical construction project,17-327,,Improve Jose Rizal Dog Park,"There are large sections of the Rizal OLA that are unusable because of invasive plants like blackberries. Dogs can get hurt on the blackberry, and it is limiting the room they have to play. ","Goats can be rented to remove the blackberry and native, dog-friendly plants can be put in to reclaim the space. OLA volunteers have expressed interest in helping to replant the area once the blackberry and other weeds are removed. ","47.592687, -122.318542",Jose Rizal OLA,Place-making/Beautification,Parks,"OLA users, park users, dogs",2,Beacon Hill
Not Feasible,,,Not Feasible,Too expensive,17-329,,Lighting Improvements on Mountains to Sound Bike Trail,Lights in park from 12th ave s to s.charles down to rainier ave along MTS to sound bike trail ,Safely walking from Pac Med area to i-90 bus stop area for Bellevue or Rainier,"47.594286, -122.317650",the Mts to Sound Bike Trail along the park,Lighting,Parks,"Ped and Bike commuters, residents, and park users.",2,Beacon Hill
Not Feasible,,,Not Feasible,"outside of budget limit, OIS funding // Overbudget, existing OIS funding",17-331,,Alleyway Renovation- Canton Alley,Need to repair and renovate the alley (Canton) to help in activation. ,Complete plans developed several years ago to renovate/cleanup/light up the alley.,"47.598358, -122.323112",Canton Alley - alley between 7th Av S and 8th AV S and King St and Weller St in Chinatown-International District,Place-making/Beautification,SDOT,"residents of the C-ID, businesses, visitors to the C-ID",2,Chinatown/ID
Not Feasible,,,Not Feasible,would require design,17-333,,Install railing on stairs in Hing Hay Park,lack of ADA accessibility on Hing-Hay Park steps,installation of railing / possibly a ramp,"47.598534, -122.325363",Hing Hay Park,Accessibility Improvements,Parks,the elderly / residents with physical disabilities ,2,Chinatown/ID
Not Feasible,,,Not Feasible,"NMF, public space management",17-335,,Install parklet in Little Saigon,"lack of public space for community members to rest, congregate",parklet installation,"47.599210, -122.317200",12th Ave S and S Jackson St along streetcar line,Place-making/Beautification,SDOT,shoppers / residents,2,Little Saigon
Not Feasible,,,Not Feasible,"Lack of clarity, would require community input",17-337,,Public Art Installation in Little Saigon,lack of identity / sense of place in Little Saigon,Construction of Little Saigon Heritage Gate using traditional Vietnamese architecture,"47.599210, -122.317200",whichever part of Little Saigon the city deems fit,Place-making/Beautification,SDOT,residents ,2,Little Saigon
Not Feasible,,,Not Feasible,Not on Parks/SDOT property,17-341,,Install play equipment at Yesler Terrace P-Patch,lack of permanent park equipment in International District,installation of exercise and play equipment in Yesler Terrace P-Patch,"47.600758, -122.320656",Yesler Terrace P-Patch,Park Equipment,SHA,youth / elderly,2,Yesler  Terrace
Not Feasible,,,Not Feasible,Too expensive,17-344,,ADA trail improvements in Seward Park,"Suggestions for ADA accessible trails and pedestrian crosswalks in Seward Park were incorporated in the Comprehensive Trail Plan of May 2009, but most have not been carried out. ","Implement the elements of the Trail Plan that address ADA accessibility and pedestrian crossing safety. There are also other crosswalks needed in the park that were not within the scope of the  of the trail plan, which only dealt with interior trails and not roads.     For ADA accessibility, the Earthquake Scarp Trail has been graded for ADA standards on the north end, but it needs a barrier or marked turnaround so wheelchairs do not attempt to descend the south end that has stairs. This would be simple and very low cost. In the comprehensive trail plan, it was proposed to make the bald Eagle Trail and the main part of the Sqebeqsed Trail ADA compliant by doing some trail regrading, and putting in a crosswalk from the parking lot by picnic shelter #3 to the trailhead for the Bald Eagle and Lost lake Trails. The crosswalk would benefit the safety of all park users entering the forest at this point and help direct hikers to a  single entrance instead of the two parallel entrances that have developed. Alternatively, ADA access to the Upper Loop Trailhead for the Sqebeqsed Trail could be obtained if appropriate ADA parking were added by the trailhead or at the amphitheater.    Cross walks would also be helpful in other locations:  1)  where the Sqebeqsed Trail crosses the upper loop road from Picnic shelter #2 to the amphitheater  2) on either side of the Japanese Garden in the Entrance circle, connecting the path through the garden to the new torii site. The existing crosswalks at Juneau and Lake Washington Boulevard bypass the entrance to the garden, and most park users have no idea how to access the garden. This would be an excellent location for a culturally appropriate painted crosswalk, perhaps with stylized cherry blossoms.  3) at the bottom of the upper loop road by the parking lot by the Clay Studio. Pedestrians coming the the lower loop path are discharged into the parking lot with no clear direction for continuing, either to the sidewalk on the west side of the lot or to cross the road to the sidewalk on the east side of the upper loop road. A crosswalk and some direction out of the parking lot would improve safety here. Speed bumps have also been suggested for the hill down from the upper loop road.",,"Seward Park: Main locations - entrance circle, Clay Studio parking lot, Earthquake Scarp Trail, upper parking lot by picnic shelter #3 and Bald Eagle Trailhead, upper loop road.",Walkways,Parks,All pedestrians would benefit from safer crossings of park roads. Wheelchair users and other wheeled mobility such as strollers would benefit from finishing the proposed ADA Trails. More park users could find their way into the Japanese Garden to appreciate the Taiko-gata lantern and historical plaques and plantings there.,2,Lakewood/Seward Park
Not Feasible,,,Not Feasible,"Contact Metro, not SDOT jurisdiction",17-345,,Add a covered busstop shelter near ACRS,The streets around the campus for Asian Counseling and Referral Service (ACRS) on MLK Way South in the Mt. Baker neighborhood suffers from many problems regarding pedestrian safety. The organization serves low-income and elderly Asian Pacific Islander families who depend on public transit to reach its services. These project ideas relate to safe walking paths to the campus and better transit infrastructure for commuting clients.,"The first idea is to place a covered bus stop with benches and a trash can at the corner of MLK Way South and Walden. Many senior citizens right now have to stand outside in all sorts of weather conditions to catch the bus. A covered bench for the #106 bus on that street corner would make it much more safe for elderly clients (otherwise in bad weather they wait in the ACRS building and run out to catch the bus, risking tripping and falling). The next idea is to improve the lighting and visibility on S. Della Street, right near the parking lot for ACRS. There is no sidewalk on S. Della - it cuts off at a sharp corner and incline that cars rush through and can't anticipate pedestrians. Since there is no paved sidewalk, it gets muddy and becomes dangerous in rainy weather. One idea is to put mirrors to view ongoing street traffic like cars and bicycles to increase pedestrian safety in that area. Also more lighting on S. Della Street would be helpful to increase safety.","47.571970, -122.296760","S. Della Street next to ACRS campus, and MLK Way S. And Walden intersection ",Other,SDOT,ACRS clients and staff would benefit from this project. The organization serves low-income Asian Pacific Islander community members of all ages. Also the South Della Street improvements would benefit residents of Beacon Hill community nearby.,2,Mt. Baker
Not Feasible,,,Not Feasible,In the Bike Master Plan,17-352,,Add plastic pylons to delineate bike lane from road.,Dangerous to ride bike on MLK in the Central District,Add plastic pylons to delineate bike lane from road.,"47.599167, -122.297367",MLK & Jackson,Other,SDOT,Bicyclists,3,Central District
Not Feasible,,,Not Feasible,Requires community input.  Consider Neighborhood Matching Fund. ,17-367,,Parklet at Union & Boylston,Lack of safe crosswalks and speeding cars.,"I think we need road islands at the intersections on union and summit, boylston. We also need crosswalks marked at the parklet on union and boylston.","47.61298, -122.32339",Parklet at union and boylston,Place-making/Beautification,SDOT,All the local pedestrians and drivers. There is more and more traffic and congestion and many new apartment buildings are about to open and increase the population.,3,First Hill
Not Feasible,,,Not Feasible,Not on Parks/SDOT property. Refer to KC Metro,17-370,,Add trashcan to the Pine/Bellevue S. busstop,The East Pine Street and Bellevue South Bound Bus Stop has not trash can. It could most certainly use one. ,,"47.615210, -122.326790",East Pine Street and Bellevue South Bound Bus Stop,Other,Metro,"Clean Streets, and not having to use the local shops for trash. According to the map, the council district is 8, but you don't give that number. Why even ask it? It's not that hard to look up the location on maps.google.com",3,Capitol Hill
Not Feasible,,,Not Feasible,Requires community input.  Consider Neighborhood Matching Fund. ,17-372,,Build covering over basketball court @ Cal Anderson Park,"People in our neighborhood love gathering in Cal Anderson Park.  However, in the fall/winter the park becomes empty, sad, and feel unsafe.   This roof structure over the basketball court would provide gathering space year-round","Build  a roof over the basketball court to so that it's shielded from rain.   Does not require walls, just the roof.  Could include rain barrel to catch water off the roof and reduce storm water entering people therefore reducing CSO events.  ","47.615698, -122.318211",Cal Anderson Park,Park Equipment,Parks,"Anyone who works, lives or plays in Capitol Hill  can benefit from increased park space that's usable year round.  Lots of community members meet and make friends here.   Promotes healthy activities and community vitality.  ",3,Capitol HIll 
Not Feasible,,,Not Feasible,Pavement to Parks program,17-377,,Construct a pavement park on either side of E Olive Place in a bid to narrow the road into a one - lane in the interest of calming traffic ,"In lower Capitol Hill the intersection of E Olive Way and E Olive Place (only a few feet west of Bellevue Avenue) creates an unnecessarily wide expanse of roadway. The pedestrian crossing is approximately 50 feet wide, yet E Olive Way is a single lane one-way street. Pedestrians may encounter drivers entering the street from unpredictable directions. This area is a tragedy waiting to happen.","Install two interim curb/sidewalk extensions using paint, posts, planters, or other low-maintenance and durable materials as appropriate to fit within the $90,000 budget cap. Do this on both sides of E Olive Place to channel the street entry into a one-lane roadway. This will channel the one-way, westbound traffic on E Olive Way into a predictable movement pattern and simplify the interactions between people walking and people driving.    This area of Capitol Hill has a significant lack of public park space. If there is interest in going a step further and making this a “pavement to parks” project, the project area could be further enhanced with colorful street painting/paving, planters, and tables and chairs. This would complement the new “Pac Man Park” just one block away on Summit Avenue.","47.617038, -122.326944",E Olive Place at E Olive Way,Other,SDOT,"The project area is surrounded on all sides by midrise apartment buildings, small local businesses including but not limited to City Market, Pie Bar, and Knee High Stocking Company. E Olive Way is also a highly popular commuter route for people walking between Downtown and Capitol Hill. Hundreds of people would directly benefit from a shorter pedestrian crossing every day. This is also an opportunity to address and race and social justice issues, as most of the people living in this area are tenants.    There is no downside to this proposal. On-street parking is already prohibited along the north curb of E Olive Place; at most, one or two parking spaces would be moved in exchange for preventing serious and deadly injuries and creating a more pleasant and livable neighborhood.  ",3,Capitol Hill
Not Feasible,,,Not Feasible,Coordinate with Roadway Structures,17-437,,Improve area under University Bridge,Lack of places to chill,The city should remove the concrete buffers under the north side of the university bridge so that skate boarders can have a place to hang out. City could generally make the area under the bridge more attractive- it's covered so people wouldn't get wet and there's quite a bit of space,"47.655163, -122.318941",Area underneath n side of u bridge,Other,SDOT,Students,4,U-District
Not Feasible,,,Not Feasible,SDOT does not sign for duck crossings due to unpredictable nature of their habitat locations,17-380,,Install a 'Duck Crossing' sign at Denny Blaine Lake Park,There need to be Duck Crossing signs for traffic on Madrona Drive next to Denny Blaine Lake Park Shelter. The population of ducks living in this pond often need to cross the street through speeding cars. They live right next to a bus stop and a blind turn where cars cannot see them crossing. These cars come very fast with no regard for the Ducks. ,Please install a Duck Crossing sign for traffic coming in both directions. This should not be very expensive to do. This will be even more important come springtime when the ducklings are born.,"47.618220, -122.284757",Madrona Drive & Madrona Pl. ( Denny Blaine Lake Park),Signage,SDOT,"The Ducks, the baby ducklings, and the community.",3,Madrona
Not Feasible,,,Not Feasible,Plans are underway to repurpose curbspace uses. http://kingcounty.gov/depts/transportation/metro/programs-projects/route-8.aspx ,17-386,,"Reconfigure Olive Way, between Denny & Broadway","The upper portion of Olive is a confusing street environment that is variously one-lane, two-lanes, bus stops, unsafe and unmarked pedestrian crossings, and random patches of on-street parking. The result is cars weaving around stopped cars waiting to make left turns, cars suddenly merging due to parked cars, and an unpredictable and unsafe environment for people crossing the street either behind the wheel or on foot.","Between Denny Way and Broadway, restripe, rechannelize, and reconfigure Olive Way for a consistent lane design of one lane each way, a center turn lane, and one parking lane. This will only require paint.","47.619900, -122.320900",Olive Way between Denny Way and Broadway,Other,SDOT,"All users of the street. Drivers would have a much more logical and predictable traffic flow, and would have a safe place to wait to make a left turn. Freight deliveries would have a reliable place to park to unload, instead of parking on the pedestrian sidewalk. Bus drivers could stop in the lane, making it easier to move forward once the passenger load/unload process is complete. Pedestrians would know exactly how many lanes of traffic they are crossing, and future funding opportunities could put bulbouts in the parking lane and crossing islands in the median to make crossing the street more safe and comfortable.",3,Capitol Hill
